Air Supply
Alec Baldwin
Alison Lohman
Amanda Seyfried
Andreas Michera
Andy Garcia
Anna Chlumsky
Anna Lore
Anthony LaPaglia
Austin Crute
Avery Tiiu Essex
Barbara Barrie
Ben Affleck
Bill Gerber
Bill Paxton
Bob Balaban
Bob Hoskins
Brad Pitt
Brad Renfro
Brendan Fraser
Bridget Fonda
Brittany Flickinger
Bruce Payne
Calista Flockhart
Campbell Scott
Carmine Appice
Carrie Preston
Charles Gitonga Maina
Charlize Theron
Christian Slater
Christophe Beck
Clint Eastwood
Colin Blumenau
Colin Firth
Courtney Love
Daniel Stern
Danny Abelson
David Alan Grier
David Hayman
David Mazouz
David Strathairn
Demi Moore
Denise Richards
Diane Lane
Dianne Wiest
Didi Velez
Djimon Hounsou
Dominic Scott Kay
Drea de Matteo
Elisabeth Shue
Elizabeth McGovern
Elizabeth Perkins
Elliot Page
Elya Baskin
Embeth Davidtz
Emily Longstreth
Emmy Rossum
Evan Rachel Wood
Finn Carter
Frank Langella
Frankie Muniz
Fred Ward
Garrett Hedlund
Gary Oldman
Gary Sinise
Hays Wellford
Henry Beard
Illeana Douglas
J.T. Walsh
Jack Nicholson
James Caan
James Doohan
James Freedson-Jackson
James McAvoy
James Ray
Jami Gertz
Jason Patric
Jay Mohr
Jeff Bridges
Jeffrey Baxter
Jennifer Aniston
Jennifer Jason Leigh
Jennifer Lawrence
Jill Anenberg
Jim Cummings
Jirantanin Pitakporntrakul
Joanna Angel
Joe Mantegna
Joel Cox
John Calley
John Goodman
John Lithgow
John Malkovich
Johnny A.
Jonathan Ward
Joseph Mazzello
Josh Brolin
Judd Apatow
Julia Roberts
K.C. Martel
Karen Anderson
Karen Young
Kathryn Erbe
Kelly Preston
Kevin Costner
Kiefer Sutherland
Kim Dickens
Kristin Dattilo
Kyra Sedgwick
Linda Fiorentino
Lindsay Crouse
Liv Tyler
Logan Lerman
Lori Singer
Lucy Fry
Luke Wilson
Machine Gun Kelly
Marcia Gay Harden
Margie Adam
Maria Tucci
Marian Seldes
Marin Hinkle
Mark Keyloun
Mark Rendall
Markus Waldow
Mary Stuart Masterson
Mary-Louise Parker
Matt Dillon
Maximilian Schell
Melanie DeMore
Meryl Streep
Michael Bacon
Michael Beach
Michael Cera
Michael Fassbender
Michael Gross
Michael Harkins
Michael Sheen
Mickey Rourke
Miles Heizer
Minnie Driver
Morgan Freeman
N. Paul Stookey
Nathan Lane
Neve Campbell
Nicolas Cage
Olympia Dukakis
Orson Bean
Paul Rodriguez
Pete Seeger
Peter Gallagher
Quei Tann
Radha Mitchell
Rainn Wilson
Ray Stevenson
Renée Zellweger
Richard Blade
Rob Corddry
Robert De Niro
Robert Patrick
Rudy Ramos
Russell Ali
Ryan Reynolds
Sam Rockwell
Sarah Michelle Gellar
Sean Astin
Sean Penn
Shea Whigham
Steve Guttenberg
Stuart Townsend
Tess Harper
Theo Germaine
Tim Robbins
Tippi Hedren
Tom Atkins
Tom Cruise
Tom Hanks
Tommy Citera
Travis Fimmel
William Baldwin
Winston Ntshona
Yasiin Bey
Yolanda Vazquez
Zachary David Cope
Zooey Deschanel
